
=== LOADING SOUNDS ===
? ?m thanh: nhacnen.mp3
==== JavaSound Minim Error ====
==== Don't know the ID3 code TSSE

? ?m thanh: amthanhspawn.mp3
? ?m thanh: amthanhcull.mp3
==== JavaSound Minim Error ====
==== Don't know the ID3 code TSSE

? ?m thanh: amthanhbutton.mp3
=== SOUND LOADING DONE ===

? Kh?i ??ng nh?c n?n...
? Nh?c n?n ?ang ph?t (volume: 0.50)
Setup Done
Simulated Sec 1 | Algae: 2368 | Sardine: 159 | Crab: 20 | Shark: 8 | Total: 2556
Simulated Sec 2 | Algae: 2361 | Sardine: 158 | Crab: 20 | Shark: 8 | Total: 2549
Simulated Sec 3 | Algae: 2340 | Sardine: 158 | Crab: 20 | Shark: 8 | Total: 2528
Simulated Sec 4 | Algae: 2314 | Sardine: 153 | Crab: 20 | Shark: 8 | Total: 2502
Simulated Sec 5 | Algae: 2291 | Sardine: 155 | Crab: 21 | Shark: 8 | Total: 2482
Simulated Sec 6 | Algae: 2273 | Sardine: 158 | Crab: 21 | Shark: 8 | Total: 2469
Simulated Sec 7 | Algae: 2234 | Sardine: 107 | Crab: 21 | Shark: 8 | Total: 2431
Simulated Sec 8 | Algae: 2209 | Sardine: 99 | Crab: 21 | Shark: 8 | Total: 2407
Simulated Sec 9 | Algae: 2170 | Sardine: 101 | Crab: 21 | Shark: 8 | Total: 2375
Simulated Sec 10 | Algae: 2147 | Sardine: 102 | Crab: 23 | Shark: 8 | Total: 2355
Simulated Sec 11 | Algae: 2108 | Sardine: 106 | Crab: 23 | Shark: 9 | Total: 2324
Simulated Sec 12 | Algae: 2085 | Sardine: 114 | Crab: 23 | Shark: 9 | Total: 2310
Simulated Sec 13 | Algae: 2373 | Sardine: 125 | Crab: 23 | Shark: 9 | Total: 2611
Simulated Sec 14 | Algae: 2731 | Sardine: 126 | Crab: 23 | Shark: 9 | Total: 2970
Simulated Sec 15 | Algae: 3033 | Sardine: 129 | Crab: 23 | Shark: 9 | Total: 3279
Simulated Sec 16 | Algae: 3288 | Sardine: 127 | Crab: 23 | Shark: 9 | Total: 3536
Simulated Sec 17 | Algae: 3493 | Sardine: 133 | Crab: 23 | Shark: 10 | Total: 3749
Simulated Sec 18 | Algae: 3650 | Sardine: 137 | Crab: 23 | Shark: 10 | Total: 3912
Simulated Sec 19 | Algae: 3784 | Sardine: 132 | Crab: 23 | Shark: 10 | Total: 4050
Simulated Sec 20 | Algae: 3826 | Sardine: 133 | Crab: 23 | Shark: 10 | Total: 4097
Simulated Sec 21 | Algae: 3796 | Sardine: 134 | Crab: 23 | Shark: 10 | Total: 4073
Simulated Sec 22 | Algae: 3763 | Sardine: 136 | Crab: 23 | Shark: 11 | Total: 4047
Simulated Sec 23 | Algae: 3735 | Sardine: 142 | Crab: 24 | Shark: 11 | Total: 4028
Simulated Sec 24 | Algae: 3702 | Sardine: 138 | Crab: 25 | Shark: 11 | Total: 4002
Simulated Sec 25 | Algae: 3697 | Sardine: 138 | Crab: 29 | Shark: 11 | Total: 4006
Simulated Sec 26 | Algae: 4067 | Sardine: 145 | Crab: 32 | Shark: 11 | Total: 4388
Simulated Sec 27 | Algae: 4410 | Sardine: 148 | Crab: 32 | Shark: 11 | Total: 4736
Simulated Sec 28 | Algae: 4695 | Sardine: 152 | Crab: 36 | Shark: 11 | Total: 5032
Simulated Sec 29 | Algae: 4922 | Sardine: 161 | Crab: 36 | Shark: 12 | Total: 5274
Simulated Sec 30 | Algae: 5166 | Sardine: 162 | Crab: 36 | Shark: 12 | Total: 5527
Simulated Sec 31 | Algae: 5418 | Sardine: 168 | Crab: 38 | Shark: 12 | Total: 5790
Simulated Sec 32 | Algae: 5604 | Sardine: 165 | Crab: 40 | Shark: 12 | Total: 5981
Simulated Sec 33 | Algae: 5733 | Sardine: 167 | Crab: 40 | Shark: 12 | Total: 6120
Simulated Sec 34 | Algae: 5894 | Sardine: 178 | Crab: 41 | Shark: 12 | Total: 6295
Simulated Sec 35 | Algae: 6025 | Sardine: 191 | Crab: 41 | Shark: 12 | Total: 6444
Simulated Sec 36 | Algae: 6095 | Sardine: 199 | Crab: 41 | Shark: 12 | Total: 6527
Simulated Sec 37 | Algae: 6181 | Sardine: 201 | Crab: 43 | Shark: 12 | Total: 6623
Simulated Sec 38 | Algae: 6487 | Sardine: 222 | Crab: 43 | Shark: 12 | Total: 6959
Simulated Sec 39 | Algae: 7078 | Sardine: 225 | Crab: 46 | Shark: 12 | Total: 7564
Simulated Sec 40 | Algae: 7514 | Sardine: 236 | Crab: 46 | Shark: 13 | Total: 8016
Simulated Sec 41 | Algae: 7886 | Sardine: 244 | Crab: 49 | Shark: 13 | Total: 8401
Simulated Sec 42 | Algae: 8199 | Sardine: 249 | Crab: 37 | Shark: 13 | Total: 8725
Simulated Sec 43 | Algae: 8491 | Sardine: 253 | Crab: 37 | Shark: 13 | Total: 9025
Simulated Sec 44 | Algae: 8712 | Sardine: 258 | Crab: 37 | Shark: 13 | Total: 9257
Simulated Sec 45 | Algae: 8975 | Sardine: 262 | Crab: 37 | Shark: 12 | Total: 9527
COLLAPSE: Overpopulation!
BEATS.pde:226:0:226:0: RuntimeException: COLLAPSE: Overpopulation!
