
=== LOADING SOUNDS ===
? ?m thanh: nhacnen.mp3
==== JavaSound Minim Error ====
==== Don't know the ID3 code TSSE

? ?m thanh: amthanhspawn.mp3
? ?m thanh: amthanhcull.mp3
==== JavaSound Minim Error ====
==== Don't know the ID3 code TSSE

? ?m thanh: amthanhbutton.mp3
=== SOUND LOADING DONE ===

? Kh?i ??ng nh?c n?n...
? Nh?c n?n ?ang ph?t (volume: 0.50)
Setup Done
Simulated Sec 1 | Algae: 2369 | Sardine: 158 | Crab: 20 | Shark: 12 | Total: 2561
Simulated Sec 2 | Algae: 2360 | Sardine: 157 | Crab: 20 | Shark: 13 | Total: 2553
Simulated Sec 3 | Algae: 2331 | Sardine: 156 | Crab: 20 | Shark: 13 | Total: 2524
Simulated Sec 4 | Algae: 2308 | Sardine: 154 | Crab: 20 | Shark: 14 | Total: 2502
Simulated Sec 5 | Algae: 2282 | Sardine: 150 | Crab: 20 | Shark: 14 | Total: 2476
Simulated Sec 6 | Algae: 2270 | Sardine: 149 | Crab: 20 | Shark: 14 | Total: 2464
Simulated Sec 7 | Algae: 2253 | Sardine: 103 | Crab: 20 | Shark: 14 | Total: 2447
Simulated Sec 8 | Algae: 2220 | Sardine: 95 | Crab: 22 | Shark: 14 | Total: 2417
Simulated Sec 9 | Algae: 2195 | Sardine: 85 | Crab: 22 | Shark: 14 | Total: 2393
Simulated Sec 10 | Algae: 2171 | Sardine: 83 | Crab: 22 | Shark: 14 | Total: 2369
Simulated Sec 11 | Algae: 2142 | Sardine: 83 | Crab: 22 | Shark: 14 | Total: 2343
Simulated Sec 12 | Algae: 2122 | Sardine: 81 | Crab: 22 | Shark: 14 | Total: 2325
Simulated Sec 13 | Algae: 2090 | Sardine: 90 | Crab: 22 | Shark: 14 | Total: 2302
Simulated Sec 14 | Algae: 2064 | Sardine: 92 | Crab: 22 | Shark: 14 | Total: 2279
Simulated Sec 15 | Algae: 2042 | Sardine: 93 | Crab: 22 | Shark: 14 | Total: 2259
Simulated Sec 16 | Algae: 2013 | Sardine: 92 | Crab: 22 | Shark: 15 | Total: 2234
Simulated Sec 17 | Algae: 1996 | Sardine: 94 | Crab: 22 | Shark: 15 | Total: 2219
Simulated Sec 18 | Algae: 1975 | Sardine: 97 | Crab: 22 | Shark: 15 | Total: 2201
Simulated Sec 19 | Algae: 1959 | Sardine: 100 | Crab: 22 | Shark: 15 | Total: 2190
Simulated Sec 20 | Algae: 1933 | Sardine: 101 | Crab: 22 | Shark: 15 | Total: 2169
Simulated Sec 21 | Algae: 1907 | Sardine: 99 | Crab: 22 | Shark: 15 | Total: 2149
Simulated Sec 22 | Algae: 1886 | Sardine: 105 | Crab: 23 | Shark: 15 | Total: 2137
Simulated Sec 23 | Algae: 1857 | Sardine: 110 | Crab: 24 | Shark: 15 | Total: 2115
Simulated Sec 24 | Algae: 1827 | Sardine: 115 | Crab: 24 | Shark: 15 | Total: 2092
Simulated Sec 25 | Algae: 1809 | Sardine: 111 | Crab: 24 | Shark: 15 | Total: 2075
Simulated Sec 26 | Algae: 1779 | Sardine: 109 | Crab: 24 | Shark: 15 | Total: 2051
Simulated Sec 27 | Algae: 1751 | Sardine: 113 | Crab: 24 | Shark: 15 | Total: 2031
Simulated Sec 28 | Algae: 1722 | Sardine: 112 | Crab: 24 | Shark: 15 | Total: 2007
Simulated Sec 29 | Algae: 1697 | Sardine: 110 | Crab: 25 | Shark: 16 | Total: 1986
Simulated Sec 30 | Algae: 1669 | Sardine: 119 | Crab: 26 | Shark: 16 | Total: 1968
Simulated Sec 31 | Algae: 1631 | Sardine: 129 | Crab: 26 | Shark: 16 | Total: 1943
Simulated Sec 32 | Algae: 1599 | Sardine: 129 | Crab: 26 | Shark: 16 | Total: 1918
Simulated Sec 33 | Algae: 1634 | Sardine: 139 | Crab: 27 | Shark: 16 | Total: 1965
Simulated Sec 34 | Algae: 1688 | Sardine: 141 | Crab: 28 | Shark: 16 | Total: 2028
Simulated Sec 35 | Algae: 1734 | Sardine: 148 | Crab: 28 | Shark: 16 | Total: 2083
Simulated Sec 36 | Algae: 1787 | Sardine: 150 | Crab: 28 | Shark: 17 | Total: 2143
Simulated Sec 37 | Algae: 1788 | Sardine: 160 | Crab: 29 | Shark: 18 | Total: 2158
Simulated Sec 38 | Algae: 1818 | Sardine: 164 | Crab: 29 | Shark: 18 | Total: 2194
Simulated Sec 39 | Algae: 1850 | Sardine: 160 | Crab: 29 | Shark: 18 | Total: 2228
Simulated Sec 40 | Algae: 1866 | Sardine: 160 | Crab: 30 | Shark: 18 | Total: 2247
Simulated Sec 41 | Algae: 1871 | Sardine: 163 | Crab: 33 | Shark: 18 | Total: 2259
Simulated Sec 42 | Algae: 1904 | Sardine: 159 | Crab: 21 | Shark: 17 | Total: 2294
Simulated Sec 43 | Algae: 1895 | Sardine: 160 | Crab: 22 | Shark: 17 | Total: 2297
Simulated Sec 44 | Algae: 1915 | Sardine: 166 | Crab: 22 | Shark: 17 | Total: 2326
Simulated Sec 45 | Algae: 1922 | Sardine: 165 | Crab: 22 | Shark: 18 | Total: 2340
Simulated Sec 46 | Algae: 1936 | Sardine: 170 | Crab: 22 | Shark: 18 | Total: 2360
Simulated Sec 47 | Algae: 1940 | Sardine: 168 | Crab: 22 | Shark: 17 | Total: 2368
Simulated Sec 48 | Algae: 1928 | Sardine: 169 | Crab: 22 | Shark: 17 | Total: 2367
Simulated Sec 49 | Algae: 1936 | Sardine: 165 | Crab: 22 | Shark: 17 | Total: 2378
Simulated Sec 50 | Algae: 1934 | Sardine: 165 | Crab: 21 | Shark: 17 | Total: 2380
Simulated Sec 51 | Algae: 1935 | Sardine: 166 | Crab: 21 | Shark: 17 | Total: 2385
Simulated Sec 52 | Algae: 1931 | Sardine: 162 | Crab: 21 | Shark: 17 | Total: 2385
Simulated Sec 53 | Algae: 1930 | Sardine: 156 | Crab: 21 | Shark: 16 | Total: 2387
Simulated Sec 54 | Algae: 1926 | Sardine: 159 | Crab: 22 | Shark: 17 | Total: 2391
Simulated Sec 55 | Algae: 1911 | Sardine: 156 | Crab: 24 | Shark: 17 | Total: 2377
Simulated Sec 56 | Algae: 1894 | Sardine: 152 | Crab: 24 | Shark: 17 | Total: 2364
Simulated Sec 57 | Algae: 1880 | Sardine: 152 | Crab: 26 | Shark: 17 | Total: 2311
Simulated Sec 58 | Algae: 1853 | Sardine: 151 | Crab: 26 | Shark: 17 | Total: 2281
Simulated Sec 59 | Algae: 1821 | Sardine: 153 | Crab: 26 | Shark: 16 | Total: 2248
Simulated Sec 60 | Algae: 1807 | Sardine: 147 | Crab: 27 | Shark: 16 | Total: 2236
Simulated Sec 61 | Algae: 1772 | Sardine: 152 | Crab: 28 | Shark: 15 | Total: 2206
Simulated Sec 62 | Algae: 1732 | Sardine: 162 | Crab: 30 | Shark: 14 | Total: 2175
Simulated Sec 63 | Algae: 1690 | Sardine: 164 | Crab: 32 | Shark: 14 | Total: 2142
Simulated Sec 64 | Algae: 1643 | Sardine: 172 | Crab: 32 | Shark: 14 | Total: 2104
Simulated Sec 65 | Algae: 1612 | Sardine: 177 | Crab: 32 | Shark: 14 | Total: 2080
Simulated Sec 66 | Algae: 1589 | Sardine: 192 | Crab: 32 | Shark: 14 | Total: 2070
Simulated Sec 67 | Algae: 1560 | Sardine: 198 | Crab: 32 | Shark: 14 | Total: 2052
Simulated Sec 68 | Algae: 1533 | Sardine: 201 | Crab: 33 | Shark: 15 | Total: 2036
Simulated Sec 69 | Algae: 1511 | Sardine: 215 | Crab: 33 | Shark: 15 | Total: 2026
Simulated Sec 70 | Algae: 1487 | Sardine: 220 | Crab: 33 | Shark: 15 | Total: 2009
Simulated Sec 71 | Algae: 1452 | Sardine: 229 | Crab: 32 | Shark: 15 | Total: 1976
Simulated Sec 72 | Algae: 1429 | Sardine: 230 | Crab: 32 | Shark: 15 | Total: 1957
Simulated Sec 73 | Algae: 1411 | Sardine: 233 | Crab: 32 | Shark: 16 | Total: 1943
Simulated Sec 74 | Algae: 1381 | Sardine: 236 | Crab: 32 | Shark: 16 | Total: 1919
Simulated Sec 75 | Algae: 1345 | Sardine: 239 | Crab: 33 | Shark: 16 | Total: 1884
Simulated Sec 76 | Algae: 1314 | Sardine: 246 | Crab: 34 | Shark: 16 | Total: 1856
Simulated Sec 77 | Algae: 1309 | Sardine: 246 | Crab: 34 | Shark: 16 | Total: 1853
Simulated Sec 78 | Algae: 1277 | Sardine: 251 | Crab: 34 | Shark: 16 | Total: 1823
Simulated Sec 79 | Algae: 1264 | Sardine: 251 | Crab: 34 | Shark: 16 | Total: 1812
Simulated Sec 80 | Algae: 1235 | Sardine: 247 | Crab: 33 | Shark: 16 | Total: 1789
Simulated Sec 81 | Algae: 1215 | Sardine: 226 | Crab: 34 | Shark: 16 | Total: 1767
Simulated Sec 82 | Algae: 1199 | Sardine: 208 | Crab: 34 | Shark: 16 | Total: 1746
Simulated Sec 83 | Algae: 1188 | Sardine: 198 | Crab: 34 | Shark: 16 | Total: 1733
Simulated Sec 84 | Algae: 1166 | Sardine: 197 | Crab: 35 | Shark: 15 | Total: 1708
Simulated Sec 85 | Algae: 1155 | Sardine: 190 | Crab: 37 | Shark: 15 | Total: 1695
Simulated Sec 86 | Algae: 1128 | Sardine: 182 | Crab: 38 | Shark: 15 | Total: 1670
Simulated Sec 87 | Algae: 1120 | Sardine: 172 | Crab: 41 | Shark: 15 | Total: 1662
Simulated Sec 88 | Algae: 1112 | Sardine: 170 | Crab: 43 | Shark: 14 | Total: 1657
Simulated Sec 89 | Algae: 1102 | Sardine: 171 | Crab: 43 | Shark: 13 | Total: 1647
Simulated Sec 90 | Algae: 1093 | Sardine: 170 | Crab: 43 | Shark: 13 | Total: 1638
Simulated Sec 91 | Algae: 1079 | Sardine: 167 | Crab: 43 | Shark: 13 | Total: 1624
Simulated Sec 92 | Algae: 1092 | Sardine: 160 | Crab: 44 | Shark: 13 | Total: 1617
Simulated Sec 93 | Algae: 1078 | Sardine: 155 | Crab: 47 | Shark: 12 | Total: 1601
Simulated Sec 94 | Algae: 1075 | Sardine: 149 | Crab: 48 | Shark: 12 | Total: 1599
Simulated Sec 95 | Algae: 1059 | Sardine: 144 | Crab: 48 | Shark: 12 | Total: 1580
Simulated Sec 96 | Algae: 1037 | Sardine: 144 | Crab: 48 | Shark: 12 | Total: 1561
Simulated Sec 97 | Algae: 1019 | Sardine: 138 | Crab: 48 | Shark: 11 | Total: 1539
Simulated Sec 98 | Algae: 1011 | Sardine: 137 | Crab: 48 | Shark: 11 | Total: 1527
Simulated Sec 99 | Algae: 1011 | Sardine: 137 | Crab: 48 | Shark: 11 | Total: 1526
Simulated Sec 100 | Algae: 1024 | Sardine: 126 | Crab: 48 | Shark: 11 | Total: 1535
Simulated Sec 101 | Algae: 1036 | Sardine: 117 | Crab: 48 | Shark: 11 | Total: 1544
Simulated Sec 102 | Algae: 1071 | Sardine: 114 | Crab: 51 | Shark: 11 | Total: 1575
Simulated Sec 103 | Algae: 1099 | Sardine: 109 | Crab: 50 | Shark: 11 | Total: 1593
Simulated Sec 104 | Algae: 1114 | Sardine: 110 | Crab: 49 | Shark: 11 | Total: 1605
Simulated Sec 105 | Algae: 1109 | Sardine: 111 | Crab: 50 | Shark: 11 | Total: 1596
Simulated Sec 106 | Algae: 1126 | Sardine: 108 | Crab: 51 | Shark: 11 | Total: 1605
Simulated Sec 107 | Algae: 1123 | Sardine: 102 | Crab: 51 | Shark: 9 | Total: 1599
Simulated Sec 108 | Algae: 1121 | Sardine: 102 | Crab: 51 | Shark: 9 | Total: 1588
Simulated Sec 109 | Algae: 1132 | Sardine: 100 | Crab: 51 | Shark: 10 | Total: 1594
Simulated Sec 110 | Algae: 1142 | Sardine: 97 | Crab: 51 | Shark: 10 | Total: 1595
Simulated Sec 111 | Algae: 1150 | Sardine: 91 | Crab: 51 | Shark: 10 | Total: 1601
Simulated Sec 112 | Algae: 1148 | Sardine: 88 | Crab: 51 | Shark: 10 | Total: 1598
Simulated Sec 113 | Algae: 1146 | Sardine: 87 | Crab: 52 | Shark: 9 | Total: 1593
Simulated Sec 114 | Algae: 1145 | Sardine: 82 | Crab: 52 | Shark: 9 | Total: 1591
Simulated Sec 115 | Algae: 1153 | Sardine: 79 | Crab: 52 | Shark: 9 | Total: 1596
Simulated Sec 116 | Algae: 1152 | Sardine: 75 | Crab: 52 | Shark: 9 | Total: 1595
Simulated Sec 117 | Algae: 1159 | Sardine: 69 | Crab: 53 | Shark: 9 | Total: 1596
Simulated Sec 118 | Algae: 1163 | Sardine: 63 | Crab: 53 | Shark: 9 | Total: 1594
Simulated Sec 119 | Algae: 1168 | Sardine: 61 | Crab: 54 | Shark: 9 | Total: 1599
Simulated Sec 120 | Algae: 1167 | Sardine: 56 | Crab: 54 | Shark: 9 | Total: 1595
Simulated Sec 121 | Algae: 1173 | Sardine: 55 | Crab: 56 | Shark: 9 | Total: 1599
Simulated Sec 122 | Algae: 1184 | Sardine: 54 | Crab: 56 | Shark: 9 | Total: 1603
Simulated Sec 123 | Algae: 1192 | Sardine: 51 | Crab: 55 | Shark: 9 | Total: 1610
Simulated Sec 124 | Algae: 1196 | Sardine: 48 | Crab: 53 | Shark: 8 | Total: 1609
Simulated Sec 125 | Algae: 1209 | Sardine: 43 | Crab: 53 | Shark: 8 | Total: 1619
Simulated Sec 126 | Algae: 1223 | Sardine: 41 | Crab: 52 | Shark: 8 | Total: 1630
Simulated Sec 127 | Algae: 1222 | Sardine: 41 | Crab: 51 | Shark: 8 | Total: 1626
Simulated Sec 128 | Algae: 1226 | Sardine: 41 | Crab: 51 | Shark: 8 | Total: 1629
Simulated Sec 129 | Algae: 1231 | Sardine: 39 | Crab: 47 | Shark: 7 | Total: 1629
Simulated Sec 130 | Algae: 1232 | Sardine: 36 | Crab: 47 | Shark: 7 | Total: 1620
Simulated Sec 131 | Algae: 1242 | Sardine: 33 | Crab: 48 | Shark: 6 | Total: 1610
Simulated Sec 132 | Algae: 1249 | Sardine: 31 | Crab: 49 | Shark: 6 | Total: 1600
Simulated Sec 133 | Algae: 1295 | Sardine: 29 | Crab: 49 | Shark: 6 | Total: 1638
Simulated Sec 134 | Algae: 1320 | Sardine: 23 | Crab: 48 | Shark: 7 | Total: 1660
Simulated Sec 135 | Algae: 1368 | Sardine: 22 | Crab: 51 | Shark: 7 | Total: 1702
Simulated Sec 136 | Algae: 1410 | Sardine: 20 | Crab: 51 | Shark: 6 | Total: 1732
