
=== LOADING SOUNDS ===
? ?m thanh: nhacnen.mp3
==== JavaSound Minim Error ====
==== Don't know the ID3 code TSSE

? ?m thanh: amthanhspawn.mp3
? ?m thanh: amthanhcull.mp3
==== JavaSound Minim Error ====
==== Don't know the ID3 code TSSE

? ?m thanh: amthanhbutton.mp3
=== SOUND LOADING DONE ===

? Kh?i ??ng nh?c n?n...
? Nh?c n?n ?ang ph?t (volume: 0.50)
Setup Done
Simulated Sec 1 | Algae: 2357 | Sardine: 160 | Crab: 20 | Shark: 6 | Total: 2543
Simulated Sec 2 | Algae: 2355 | Sardine: 159 | Crab: 20 | Shark: 7 | Total: 2542
Simulated Sec 3 | Algae: 2350 | Sardine: 157 | Crab: 20 | Shark: 7 | Total: 2537
Simulated Sec 4 | Algae: 2346 | Sardine: 155 | Crab: 20 | Shark: 7 | Total: 2533
Simulated Sec 5 | Algae: 2309 | Sardine: 154 | Crab: 20 | Shark: 7 | Total: 2496
Simulated Sec 6 | Algae: 2299 | Sardine: 153 | Crab: 21 | Shark: 7 | Total: 2486
Simulated Sec 7 | Algae: 2287 | Sardine: 125 | Crab: 21 | Shark: 7 | Total: 2474
Simulated Sec 8 | Algae: 2280 | Sardine: 93 | Crab: 21 | Shark: 7 | Total: 2467
Simulated Sec 9 | Algae: 2251 | Sardine: 82 | Crab: 21 | Shark: 7 | Total: 2438
Simulated Sec 10 | Algae: 2237 | Sardine: 78 | Crab: 21 | Shark: 7 | Total: 2424
Simulated Sec 11 | Algae: 2227 | Sardine: 73 | Crab: 21 | Shark: 7 | Total: 2414
Simulated Sec 12 | Algae: 2220 | Sardine: 67 | Crab: 21 | Shark: 7 | Total: 2407
Simulated Sec 13 | Algae: 2195 | Sardine: 71 | Crab: 21 | Shark: 7 | Total: 2386
Simulated Sec 14 | Algae: 2179 | Sardine: 68 | Crab: 21 | Shark: 7 | Total: 2370
Simulated Sec 15 | Algae: 2172 | Sardine: 68 | Crab: 24 | Shark: 7 | Total: 2364
Simulated Sec 16 | Algae: 2166 | Sardine: 67 | Crab: 24 | Shark: 7 | Total: 2358
Simulated Sec 17 | Algae: 2145 | Sardine: 65 | Crab: 24 | Shark: 7 | Total: 2339
Simulated Sec 18 | Algae: 2128 | Sardine: 71 | Crab: 24 | Shark: 7 | Total: 2328
Simulated Sec 19 | Algae: 2108 | Sardine: 75 | Crab: 24 | Shark: 7 | Total: 2312
Simulated Sec 20 | Algae: 2103 | Sardine: 75 | Crab: 24 | Shark: 7 | Total: 2308
Simulated Sec 21 | Algae: 2077 | Sardine: 77 | Crab: 24 | Shark: 7 | Total: 2286
Simulated Sec 22 | Algae: 2058 | Sardine: 80 | Crab: 24 | Shark: 7 | Total: 2270
Simulated Sec 23 | Algae: 2035 | Sardine: 83 | Crab: 25 | Shark: 6 | Total: 2250
Simulated Sec 24 | Algae: 2031 | Sardine: 80 | Crab: 25 | Shark: 5 | Total: 2248
Simulated Sec 25 | Algae: 2002 | Sardine: 88 | Crab: 26 | Shark: 5 | Total: 2229
Simulated Sec 26 | Algae: 1971 | Sardine: 94 | Crab: 26 | Shark: 5 | Total: 2205
Simulated Sec 27 | Algae: 1949 | Sardine: 97 | Crab: 26 | Shark: 5 | Total: 2186
Simulated Sec 28 | Algae: 1941 | Sardine: 100 | Crab: 26 | Shark: 5 | Total: 2184
Simulated Sec 29 | Algae: 1899 | Sardine: 110 | Crab: 26 | Shark: 5 | Total: 2153
Simulated Sec 30 | Algae: 1851 | Sardine: 126 | Crab: 26 | Shark: 5 | Total: 2121
Simulated Sec 31 | Algae: 1828 | Sardine: 134 | Crab: 26 | Shark: 5 | Total: 2106
Simulated Sec 32 | Algae: 1808 | Sardine: 139 | Crab: 32 | Shark: 5 | Total: 2093
Simulated Sec 33 | Algae: 1896 | Sardine: 147 | Crab: 33 | Shark: 5 | Total: 2189
Simulated Sec 34 | Algae: 1943 | Sardine: 162 | Crab: 33 | Shark: 5 | Total: 2251
Simulated Sec 35 | Algae: 1997 | Sardine: 169 | Crab: 34 | Shark: 5 | Total: 2313
Simulated Sec 36 | Algae: 2053 | Sardine: 177 | Crab: 34 | Shark: 4 | Total: 2377
Simulated Sec 37 | Algae: 2098 | Sardine: 177 | Crab: 34 | Shark: 3 | Total: 2424
Simulated Sec 38 | Algae: 2116 | Sardine: 183 | Crab: 34 | Shark: 3 | Total: 2451
Simulated Sec 39 | Algae: 2121 | Sardine: 192 | Crab: 34 | Shark: 3 | Total: 2469
Simulated Sec 40 | Algae: 2169 | Sardine: 195 | Crab: 34 | Shark: 3 | Total: 2525
Simulated Sec 41 | Algae: 2191 | Sardine: 195 | Crab: 34 | Shark: 2 | Total: 2550
Simulated Sec 42 | Algae: 2202 | Sardine: 199 | Crab: 19 | Shark: 2 | Total: 2569
Simulated Sec 43 | Algae: 2220 | Sardine: 196 | Crab: 19 | Shark: 2 | Total: 2594
