
=== LOADING SOUNDS ===
? ?m thanh: nhacnen.mp3
==== JavaSound Minim Error ====
==== Don't know the ID3 code TSSE

? ?m thanh: amthanhspawn.mp3
? ?m thanh: amthanhcull.mp3
==== JavaSound Minim Error ====
==== Don't know the ID3 code TSSE

? ?m thanh: amthanhbutton.mp3
=== SOUND LOADING DONE ===

? Kh?i ??ng nh?c n?n...
? Nh?c n?n ?ang ph?t (volume: 0.50)
Setup Done
Simulated Sec 1 | Algae: 1167 | Sardine: 190 | Crab: 20 | Shark: 22 | Total: 1402
Simulated Sec 2 | Algae: 1134 | Sardine: 195 | Crab: 20 | Shark: 24 | Total: 1378
Simulated Sec 3 | Algae: 1125 | Sardine: 192 | Crab: 20 | Shark: 27 | Total: 1372
Simulated Sec 4 | Algae: 1117 | Sardine: 187 | Crab: 20 | Shark: 32 | Total: 1369
Simulated Sec 5 | Algae: 1084 | Sardine: 181 | Crab: 20 | Shark: 35 | Total: 1339
Simulated Sec 6 | Algae: 1050 | Sardine: 145 | Crab: 20 | Shark: 35 | Total: 1328
Simulated Sec 7 | Algae: 1015 | Sardine: 148 | Crab: 21 | Shark: 35 | Total: 1318
Simulated Sec 8 | Algae: 977 | Sardine: 152 | Crab: 21 | Shark: 36 | Total: 1297
Simulated Sec 9 | Algae: 948 | Sardine: 148 | Crab: 21 | Shark: 37 | Total: 1269
Simulated Sec 10 | Algae: 925 | Sardine: 145 | Crab: 22 | Shark: 37 | Total: 1247
Simulated Sec 11 | Algae: 899 | Sardine: 144 | Crab: 25 | Shark: 37 | Total: 1224
Simulated Sec 12 | Algae: 842 | Sardine: 169 | Crab: 25 | Shark: 37 | Total: 1196
Simulated Sec 13 | Algae: 787 | Sardine: 195 | Crab: 25 | Shark: 37 | Total: 1174
Simulated Sec 14 | Algae: 750 | Sardine: 206 | Crab: 25 | Shark: 37 | Total: 1155
Simulated Sec 15 | Algae: 726 | Sardine: 202 | Crab: 26 | Shark: 37 | Total: 1131
Simulated Sec 16 | Algae: 690 | Sardine: 202 | Crab: 26 | Shark: 37 | Total: 1096
Simulated Sec 17 | Algae: 656 | Sardine: 203 | Crab: 26 | Shark: 37 | Total: 1072
Simulated Sec 18 | Algae: 625 | Sardine: 200 | Crab: 26 | Shark: 37 | Total: 1050
Simulated Sec 19 | Algae: 586 | Sardine: 206 | Crab: 26 | Shark: 37 | Total: 1036
Simulated Sec 20 | Algae: 546 | Sardine: 202 | Crab: 26 | Shark: 37 | Total: 1007
Simulated Sec 21 | Algae: 518 | Sardine: 189 | Crab: 26 | Shark: 37 | Total: 979
Simulated Sec 22 | Algae: 489 | Sardine: 191 | Crab: 26 | Shark: 37 | Total: 958
Simulated Sec 23 | Algae: 462 | Sardine: 188 | Crab: 28 | Shark: 37 | Total: 939
Simulated Sec 24 | Algae: 444 | Sardine: 181 | Crab: 28 | Shark: 38 | Total: 930
Simulated Sec 25 | Algae: 418 | Sardine: 181 | Crab: 28 | Shark: 38 | Total: 915
Simulated Sec 26 | Algae: 387 | Sardine: 176 | Crab: 32 | Shark: 38 | Total: 898
Simulated Sec 27 | Algae: 353 | Sardine: 170 | Crab: 32 | Shark: 38 | Total: 870
Simulated Sec 28 | Algae: 326 | Sardine: 172 | Crab: 32 | Shark: 38 | Total: 851
Simulated Sec 29 | Algae: 299 | Sardine: 172 | Crab: 32 | Shark: 38 | Total: 833
Simulated Sec 30 | Algae: 268 | Sardine: 175 | Crab: 32 | Shark: 38 | Total: 812
Simulated Sec 31 | Algae: 244 | Sardine: 177 | Crab: 34 | Shark: 38 | Total: 799
Simulated Sec 32 | Algae: 224 | Sardine: 163 | Crab: 34 | Shark: 38 | Total: 787
Simulated Sec 33 | Algae: 208 | Sardine: 157 | Crab: 35 | Shark: 38 | Total: 775
