
=== LOADING SOUNDS ===
? ?m thanh: nhacnen.mp3
==== JavaSound Minim Error ====
==== Don't know the ID3 code TSSE

? ?m thanh: amthanhspawn.mp3
? ?m thanh: amthanhcull.mp3
==== JavaSound Minim Error ====
==== Don't know the ID3 code TSSE

? ?m thanh: amthanhbutton.mp3
=== SOUND LOADING DONE ===

? Kh?i ??ng nh?c n?n...
? Nh?c n?n ?ang ph?t (volume: 0.50)
Setup Done
Simulated Sec 1 | Algae: 986 | Sardine: 100 | Crab: 20 | Shark: 3 | Total: 1109
Simulated Sec 2 | Algae: 982 | Sardine: 100 | Crab: 20 | Shark: 3 | Total: 1105
Simulated Sec 3 | Algae: 966 | Sardine: 100 | Crab: 20 | Shark: 3 | Total: 1089
Simulated Sec 4 | Algae: 952 | Sardine: 102 | Crab: 20 | Shark: 3 | Total: 1077
Simulated Sec 5 | Algae: 933 | Sardine: 102 | Crab: 20 | Shark: 3 | Total: 1058
Simulated Sec 6 | Algae: 922 | Sardine: 62 | Crab: 20 | Shark: 3 | Total: 1049
Simulated Sec 7 | Algae: 898 | Sardine: 52 | Crab: 21 | Shark: 3 | Total: 1027
Simulated Sec 8 | Algae: 881 | Sardine: 48 | Crab: 21 | Shark: 3 | Total: 1014
Simulated Sec 9 | Algae: 865 | Sardine: 49 | Crab: 21 | Shark: 3 | Total: 1001
Simulated Sec 10 | Algae: 854 | Sardine: 51 | Crab: 21 | Shark: 3 | Total: 994
Simulated Sec 11 | Algae: 829 | Sardine: 56 | Crab: 21 | Shark: 3 | Total: 975
Simulated Sec 12 | Algae: 805 | Sardine: 60 | Crab: 21 | Shark: 3 | Total: 955
Simulated Sec 13 | Algae: 778 | Sardine: 69 | Crab: 21 | Shark: 3 | Total: 937
Simulated Sec 14 | Algae: 755 | Sardine: 71 | Crab: 21 | Shark: 3 | Total: 920
Simulated Sec 15 | Algae: 720 | Sardine: 79 | Crab: 22 | Shark: 3 | Total: 894
Simulated Sec 16 | Algae: 701 | Sardine: 81 | Crab: 23 | Shark: 3 | Total: 878
Simulated Sec 17 | Algae: 748 | Sardine: 80 | Crab: 23 | Shark: 3 | Total: 929
Simulated Sec 18 | Algae: 826 | Sardine: 83 | Crab: 23 | Shark: 3 | Total: 1014
Simulated Sec 19 | Algae: 910 | Sardine: 85 | Crab: 23 | Shark: 3 | Total: 1102
Simulated Sec 20 | Algae: 955 | Sardine: 89 | Crab: 23 | Shark: 3 | Total: 1151
Simulated Sec 21 | Algae: 980 | Sardine: 95 | Crab: 23 | Shark: 3 | Total: 1182
Simulated Sec 22 | Algae: 1009 | Sardine: 96 | Crab: 23 | Shark: 3 | Total: 1213
Simulated Sec 23 | Algae: 1036 | Sardine: 99 | Crab: 23 | Shark: 3 | Total: 1243
Simulated Sec 24 | Algae: 1052 | Sardine: 103 | Crab: 23 | Shark: 3 | Total: 1263
Simulated Sec 25 | Algae: 1046 | Sardine: 109 | Crab: 23 | Shark: 3 | Total: 1264
Simulated Sec 26 | Algae: 1013 | Sardine: 117 | Crab: 23 | Shark: 3 | Total: 1245
Simulated Sec 27 | Algae: 970 | Sardine: 118 | Crab: 23 | Shark: 3 | Total: 1212
Simulated Sec 28 | Algae: 929 | Sardine: 124 | Crab: 23 | Shark: 3 | Total: 1183
Simulated Sec 29 | Algae: 907 | Sardine: 123 | Crab: 24 | Shark: 3 | Total: 1163
Simulated Sec 30 | Algae: 866 | Sardine: 132 | Crab: 26 | Shark: 3 | Total: 1134
Simulated Sec 31 | Algae: 832 | Sardine: 134 | Crab: 26 | Shark: 3 | Total: 1108
Simulated Sec 32 | Algae: 800 | Sardine: 142 | Crab: 26 | Shark: 3 | Total: 1087
Simulated Sec 33 | Algae: 779 | Sardine: 141 | Crab: 26 | Shark: 3 | Total: 1069
Simulated Sec 34 | Algae: 802 | Sardine: 135 | Crab: 27 | Shark: 3 | Total: 1098
